ItemType	Code	Equiv1	Equiv2	*skillID	*CTC	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Any				-1	id 0 lev0	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
None	none			0	id 0 lev1	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Shield	shie	shld		1	id 0 lev2	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	3	40	4	0	3			0							armo	0
Armor	tors	armo		2	id 0 lev3	1	1	tors	tors			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							armo	0
Gold	gold	misc		3	id 0 lev4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
Bow Quiver	bowq	misl	seco	4	id 0 lev5	1	1	rarm	larm		bow	1	1	0	1			1	0	1	25	2	40	3	0	3			0							misc	0
Crossbow Quiver	xboq	misl	seco	5	id 0 lev6	1	1	rarm	larm		xbow	1	1	0	1			1	0	1	25	2	40	3	0	3			0							misc	0
Player Body Part	play	misc		6	id 0 lev7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Herb	herb	misc		7	id 0 lev8	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0							misc	0
Potion	poti	misc		8	id 0 lev9	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Ring	ring	misc	merc	9	id 0 lev10	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0
Elixir	elix	misc		10	id 0 lev11	0	0					0	0	0	0			0	1	0	25	0	40	0	0	3			0							misc	0
Amulet	amul	misc	merc	11	id 0 lev12	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			3	invamu1	invamu2	invamu3				misc	0
Charm	char	misc		12	id 0 lev13	0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch1	invch4	invch7				misc	0
Not Used				13	id 0 lev14	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Boots	boot	armo		14	id 0 lev15	1	1	feet	feet			0	0	0	0		1	0	0	1	48	2	74	3	0	3			0							armo	0
Gloves	glov	armo		15	id 0 lev16	1	1	glov	glov			0	0	0	0		1	0	0	1	48	2	74	3	0	3			0							armo	0
Not Used				16	id 0 lev17	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Book	book	misc		17	id 0 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Belt	belt	armo	merc	18	id 0 lev19	1	1	belt	belt			0	0	0	0		1	0	0	1	48	2	74	2	0	3			0							armo	0
Gem	gem	sock		19	id 0 lev20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Torch	torc	misc		20	id 0 lev21	0	1					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Scroll	scro	misc		21	id 0 lev22	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Not Used				22	id 0 lev23	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Scepter	scep	rod	ac5	23	id 0 lev24	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1	pal		0							weap	0
Wand	wand	rod		24	id 0 lev25	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	2	40	2	0	1	nec		0							weap	0
Staff	staf	rod		25	id 0 lev26	1	1	rarm	larm			0	0	0	0		1	0	0	5	25	6	40	6	0	1	sor		0							weap	0
Bow	bow	miss		26	id 0 lev27	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	3	25	4	40	6	1	3			0							weap	0
Axe	axe	mele	ac5	27	id 0 lev28	1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3			0							weap	0
Club	club	blun	ac5	28	id 0 lev29	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Sword	swor	blde	ac5	29	id 0 lev30	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Hammer	hamm	blun	ac5	30	id 0 lev31	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Knife	knif	blde		31	id 0 lev32	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	3			0							weap	0
Spear	spea	sppl		32	id 0 lev33	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Polearm	pole	sppl		33	id 0 lev34	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Crossbow	xbow	miss		34	id 0 lev35	1	1	rarm	larm	xboq		0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Mace	mace	blun	ac5	35	id 0 lev36	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Helm	merc			36	id 0 lev37	1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	3	0	3			0							armo	0
Missile Potion	tpot	thro		37	id 0 lev38	0	1	rarm	larm			1	1	1	1			1	0	0	25	0	40	0	0	3			0							misc	0
Quest	ques			38	id 0 lev39	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Body Part	body	misc		39	id 0 lev40	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Key	key	misc		40	id 0 lev41	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0
Throwing Knife	tkni	comb	knif	41	id 0 lev42	1	1	rarm	larm			1	1	1	1		1	0	0	1	25	1	40	2	0	3			0							misc	0
Throwing Axe	taxe	comb	axe	42	id 0 lev43	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	3	40	4	0	3			0							misc	0
Javelin	jave	comb	spea	43	id 0 lev44	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	3	40	4	0	3			0							misc	0
Weapon	weap			44	id 0 lev45	0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0
Melee Weapon	mele	weap		45	id 0 lev46	0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0
Missile Weapon	miss	weap		46	id 0 lev47	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Thrown Weapon	thro	weap		47	id 0 lev48	0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Combo Weapon	comb	mele	thro	48	id 0 lev49	0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Any Armor	armo			49	id 0 lev50	0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0
Any Shield	shld	armo	seco	50	id 0 lev51	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Miscellaneous	misc			51	id 0 lev52	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Socket Filler	sock	misc		52	id 0 lev53	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Second Hand	seco			53	id 0 lev54	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Staves And Rods	rod	blun		54	id 0 lev55	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Missile	misl	misc		55	id 0 lev56	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Blunt	blun	mele		56	id 0 lev57	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Expansion				57	id 0 lev58																																0
