overlay	*ID	Filename	version	*Frames	Character	PreDraw	1ofN	Xoffset	Yoffset	Height1	Height2	Height3	Height4	AnimRate	LoopWaitTime	Trans	InitRadius	Radius	Red	Green	Blue	NumDirections	LocalBlood
null	0	null	0	2	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
lightning	1	ShockHitSm	0	20	common	0	1	0	0	0	0	0	0	16	0	3	11	11	255	255	255	1	0
cast_resistfire	2	AuraResistFireFrontCast	0	11	paladin	1	1	0	0	0	0	0	0	16	0	3	1	10	255	193	103	1	0
aura_resistfire	3	AuraResistFireFront	0	20	paladin	1	1	0	0	0	0	0	0	16	0	3	6	6	255	193	103	1	0
cast_resistcold	4	AuraResistColdBackCast	0	11	paladin	0	1	0	0	0	0	0	0	16	0	3	1	10	210	210	255	1	0
aura_resistcold	5	AuraResistColdBack	0	20	paladin	1	1	0	0	0	0	0	0	16	0	3	6	6	210	210	255	1	0
cast_resistlight	6	AuraResistLightningBackCast	0	11	paladin	0	1	0	0	0	0	0	0	16	0	3	1	10	255	255	200	1	0
aura_resistlight	7	AuraResistLightningBack	0	20	paladin	1	1	0	0	0	0	0	0	16	0	3	6	6	255	255	200	1	0
cast_resistall	8	AuraResistAllCast	0	20	paladin	1	1	0	0	0	0	0	0	16	0	3	1	10	211	148	255	1	0
aura_resistall_front	9	AuraResistAllFront	0	20	paladin	0	1	0	0	0	0	0	0	16	0	3	6	6	211	148	255	1	0
aura_resistall_back	10	AuraResistAllBack	0	20	paladin	1	1	0	0	0	0	0	0	16	0	3	6	6	211	148	255	1	0
aura_might_front	11	AuraMightFront	0	15	paladin	0	1	4	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_might_back	12	AuraMightBack	0	15	paladin	1	1	4	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_prayer_front	13	AuraPrayerFront	0	16	paladin	0	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0
aura_prayer_back	14	AuraPrayerBack	0	16	paladin	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0
aura_holyfire_front	15	AuraHolyFireFront	0	12	paladin	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_holyfire_back	16	AuraHolyFireBack	0	12	paladin	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
hit_holyfire	17	AuraHolyFireHit	0	12	paladin	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
target_holyfire	18	AuraHfireIndicate	0	19	paladin	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_thorns_front	19	AuraThornsFront	0	18	paladin	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_thorns_back	20	AuraThornsBack	0	18	paladin	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
hit_thorns	21	AuraThornsHit	0	10	paladin	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
target_thorns	22	AuraHfireIndicate	0	19	paladin	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_defiance_front	23	AuraDefianceFront	0	15	paladin	0	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0
aura_defiance_back	24	AuraDefianceBack	0	15	paladin	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0
aura_fanatic	25	AuraFanatic	0	20	paladin	1	1	0	0	0	0	0	0	16	0	3	0	0	81	81	255	1	0
healing	26	OverlayH	0	17	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
receiving	27	AmazonHealSpell	0	20	amazon	0	1	0	0	0	0	0	0	16	0	3	1	8	255	184	199	1	0
cast_undead	28	HolyBoltCloud	0	16	common	0	1	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
fire_cast_1	29	FireCast_for_Sorceress	0	14	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	9	255	178	64	1	0
fire_cast_2	30	FireCast2	0	16	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	9	255	178	64	1	0
ice_cast_1	31	IceCastNew01	0	15	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	9	81	81	255	1	0
ice_cast_2	32	IceCastNew02	0	15	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	9	81	81	255	1	0
ice_cast_3	33	IceCastNew03	0	15	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	9	81	81	255	1	0
